brain,RSP_l,RSP_r,PTLp_r,PTLp_l,VIS_r,VIS_l,MBsen_r,MBsen_l,SSp_l,SSp_r,ACA_r,ACA_l,MO_r,MO_l,AUD_r,AUD_l,VERM_l,VERM_r,PRT_r,PRT_l,EPI_l,EPI_r,HIP_r,HIP_l,SS_r,SS_l,RHP_r,RHP_l,CA_l,CA_r,MBmot_r,MBmot_l,LAT_r,LAT_l,GENd_l,GENd_r,HEM_l,HEM_r,ATN_l,ATN_r,PALm_r,ORB_r,ORB_l,PALm_l,LSX_r,LSX_l,Isocortex_r,Isocortex_l,CBN_r,CBN_l,GENv_r,GENv_l,ILM_l,ILM_r,LS_r,LS_l,MED_r,MED_l,STRd_l,STRd_r,VP_l,VP_r,DORsm_r,DORsm_l,DORpm_l,DORpm_r,MBsta_l,MBsta_r,SPF_l,SPF_r,MTN_r,MTN_l,ENT_l,ENT_r,VENT_l,VENT_r,AI_l,AI_r,VNC_l,VNC_r,RAmb_r,RAmb_l,PALd_r,PALd_l,OLF_l,OLF_r,DCN_l,DCN_r,PHY_l,PHY_r,P-sat_r,P-sat_l,PALc_l,PALc_r,P-sen_l,P-sen_r,CN_r,CN_l,EP_l,EP_r,P-mot_r,P-mot_l,LZ_l,LZ_r,MY-sen_r,MY-sen_l,CTXsp_r,CTXsp_l,MSC_r,MSC_l,HY_l,HY_r,MBO_r,MBO_l,sAMY_l,sAMY_r,MEZ_r,MEZ_l,MY-mot_r,MY-mot_l,PVR_r,PVR_l,MDRN_l,MDRN_r,PALv_l,PALv_r,STRv_l,STRv_r,PVZ_r,PVZ_l,PGRN_r,PGRN_l,TM_r,TM_l,MY-sat_r,MY-sat_l,COA_l,COA_r
190891,612.0,305.0,5.0,262.0,39.0,270.0,5928.0,2713.0,753.0,735.0,5116.0,473.0,1971.0,1015.0,15.0,892.0,3259.0,4456.0,26.0,45.0,26.0,36.0,319.0,285.0,52.0,4.0,234.0,175.0,157.0,198.0,3043.0,2804.0,138.0,490.0,163.0,75.0,4662.0,3632.0,43.0,14.0,155.0,152.0,157.0,82.0,9.0,5.0,797.0,52.0,830.0,1451.0,332.0,316.0,77.0,54.0,5.0,2.0,177.0,199.0,129.0,72.0,1040.0,462.0,35.0,46.0,6.0,12.0,59.0,97.0,11.0,1.0,0.0,38.0,330.0,214.0,233.0,57.0,105.0,44.0,4423.0,4600.0,617.0,472.0,78.0,32.0,5608.0,5998.0,817.0,880.0,358.0,249.0,1568.0,2046.0,8.0,2.0,6615.0,5511.0,488.0,500.0,6.0,23.0,5135.0,5202.0,481.0,436.0,5560.0,8262.0,314.0,1.0,8.0,11.0,11.0,4.0,186.0,113.0,143.0,110.0,61.0,123.0,8261.0,8139.0,131.0,61.0,638.0,314.0,57.0,77.0,249.0,247.0,156.0,164.0,229.0,480.0,13.0,19.0,185.0,228.0,35.0,64.0
190892,17.0,14.0,0.0,10.0,0.0,0.0,513.0,508.0,65.0,107.0,0.0,1.0,126.0,40.0,4.0,0.0,476.0,345.0,0.0,6.0,0.0,0.0,36.0,3.0,7.0,0.0,31.0,11.0,6.0,0.0,355.0,467.0,5.0,9.0,0.0,0.0,102455.0,1583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,14.0,36.0,2.0,0.0,4.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,9.0,16.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,68.0,100.0,0.0,1.0,2.0,0.0,2428.0,1050.0,120.0,110.0,0.0,0.0,2826.0,2651.0,92.0,124.0,1.0,4.0,452.0,471.0,0.0,0.0,1167.0,1017.0,141.0,9.0,0.0,0.0,1112.0,1517.0,2.0,21.0,490.0,2140.0,56.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.0,770.0,0.0,0.0,87.0,12.0,0.0,0.0,66.0,1.0,0.0,2.0,67.0,46.0,0.0,0.0,0.0,18.0,0.0,0.0
190900,4.0,89.0,0.0,0.0,9.0,4.0,534.0,198.0,39.0,2411.0,4.0,2.0,1103.0,43.0,14.0,0.0,21450.0,319.0,7.0,31.0,0.0,1.0,33.0,19.0,6.0,0.0,2.0,14.0,4.0,5.0,348.0,242.0,34.0,18.0,0.0,1.0,6078.0,588.0,0.0,1.0,0.0,10.0,1.0,0.0,0.0,2.0,3.0,4.0,11.0,61.0,5.0,11.0,3.0,18.0,0.0,0.0,14.0,17.0,2.0,0.0,9.0,22.0,8.0,76.0,2.0,0.0,6.0,10.0,1.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,422.0,613.0,115.0,152.0,0.0,1.0,2306.0,2535.0,22.0,4.0,8.0,18.0,303.0,220.0,0.0,0.0,433.0,477.0,5.0,21.0,0.0,0.0,380.0,1021.0,44.0,71.0,541.0,193.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,27.0,0.0,13.0,4.0,0.0,335.0,311.0,0.0,0.0,11.0,24.0,1.0,0.0,14.0,51.0,15.0,14.0,37.0,63.0,0.0,0.0,9.0,0.0,207.0,7.0
190902,132.0,291.0,0.0,0.0,12.0,5.0,74.0,537.0,125.0,12.0,5.0,4.0,15.0,15.0,0.0,0.0,548.0,566.0,0.0,8.0,0.0,0.0,160.0,14.0,0.0,3.0,4.0,9.0,18.0,70.0,128.0,78.0,20.0,13.0,0.0,0.0,398.0,267.0,0.0,0.0,3.0,1.0,5.0,2.0,19.0,0.0,0.0,4.0,2.0,7.0,583.0,3.0,18.0,27.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,45.0,2.0,1.0,6.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,10.0,5.0,2.0,0.0,9.0,14.0,334.0,784.0,19.0,11.0,0.0,0.0,2636.0,67159.0,7.0,47.0,39.0,8.0,111.0,89.0,0.0,0.0,284.0,124.0,9.0,96.0,0.0,0.0,87.0,145.0,53.0,22.0,293.0,165.0,40.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,173.0,213.0,0.0,0.0,16.0,9.0,0.0,1.0,200.0,302.0,0.0,3.0,3.0,6.0,0.0,0.0,0.0,23.0,6.0,15.0
191196,0.0,0.0,0.0,0.0,0.0,0.0,36.0,12.0,160.0,299.0,223.0,186.0,6763.0,442.0,13.0,0.0,289.0,356.0,7.0,0.0,0.0,0.0,2.0,0.0,36.0,39.0,0.0,0.0,6.0,0.0,45.0,4.0,0.0,0.0,0.0,0.0,36.0,5.0,0.0,0.0,0.0,2668.0,4098.0,0.0,0.0,0.0,63.0,2619.0,0.0,0.0,3.0,0.0,0.0,0.0,52.0,30.0,2.0,0.0,42.0,30.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.0,809.0,34.0,1.0,1.0,0.0,174.0,3.0,5197.0,1366.0,13.0,0.0,1.0,8.0,4.0,0.0,1.0,1.0,5.0,4.0,0.0,0.0,71.0,187.0,16.0,9.0,4.0,64.0,21.0,45.0,21.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,10.0,166.0,123.0,0.0,8.0,161.0,2.0,5.0,18.0,5.0,5.0,201.0,488.0,2140.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
193374,17.0,5.0,15.0,0.0,3.0,0.0,208.0,2129.0,28784.0,8.0,1.0,0.0,19.0,2536.0,0.0,0.0,440.0,362.0,26.0,62.0,2.0,4.0,29.0,17.0,2.0,99.0,1.0,114.0,0.0,3.0,252.0,2520.0,38.0,837.0,0.0,9.0,121.0,90.0,0.0,0.0,0.0,1.0,44.0,0.0,0.0,0.0,2.0,122.0,11.0,7.0,4.0,17.0,14.0,1.0,0.0,2.0,20.0,25.0,1.0,0.0,309.0,39.0,0.0,31.0,0.0,0.0,239.0,0.0,22.0,8.0,2.0,0.0,0.0,0.0,28.0,24.0,57.0,0.0,111.0,225.0,39.0,53.0,0.0,326.0,686.0,641.0,4.0,280.0,15.0,45.0,82.0,531.0,0.0,1.0,435.0,493.0,0.0,0.0,11.0,0.0,309.0,2169.0,299.0,1.0,2912.0,881.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,0.0,1.0,3796.0,302.0,0.0,0.0,248.0,915.0,94.0,0.0,2133.0,22.0,4.0,188.0,130.0,3.0,0.0,0.0,17.0,22.0,0.0,0.0
193381,253.0,25.0,0.0,61.0,20.0,10.0,211.0,307.0,163.0,20.0,0.0,69.0,10.0,2364.0,0.0,0.0,317.0,254.0,16.0,52.0,3.0,10.0,37.0,7.0,3.0,12.0,3.0,57.0,26.0,25.0,95.0,450.0,16.0,39.0,0.0,4.0,403.0,181.0,0.0,2.0,0.0,2.0,4.0,0.0,0.0,124.0,0.0,4.0,0.0,9.0,28.0,4.0,16.0,6.0,2.0,3.0,14.0,7.0,25.0,0.0,33.0,14.0,0.0,20.0,1.0,0.0,2.0,0.0,27.0,0.0,1.0,0.0,12.0,125.0,68.0,0.0,4.0,3.0,330.0,362.0,39.0,15.0,1.0,18.0,3152.0,7006.0,26.0,59.0,2.0,3.0,112.0,128.0,86.0,0.0,297.0,237.0,30.0,8.0,1.0,0.0,81.0,238.0,223.0,1.0,328.0,345.0,14.0,4.0,0.0,1.0,21.0,0.0,0.0,0.0,0.0,3.0,145.0,0.0,379.0,356.0,0.0,0.0,5.0,214.0,2.0,0.0,271.0,0.0,5.0,127.0,4.0,1.0,0.0,0.0,7.0,17.0,0.0,1.0
193385,5756.0,0.0,0.0,3.0,0.0,1.0,0.0,9.0,21.0,0.0,0.0,20.0,15.0,154.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,18.0,2.0,10.0,0.0,0.0,0.0,0.0,90.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,4.0,0.0,0.0,0.0,1.0,54.0,0.0,0.0,0.0,4.0,31.0,6.0,0.0,0.0,22.0,12.0,0.0,3.0,0.0,0.0,20.0,24.0,2.0,3.0,2.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193386,326.0,6.0,0.0,106.0,1.0,94.0,324.0,11895.0,10653.0,167.0,22.0,36.0,758.0,214525.0,0.0,0.0,263.0,296.0,18.0,3692.0,6.0,0.0,6.0,5248.0,72.0,1981.0,7.0,3375.0,1133.0,8.0,347.0,27380.0,7.0,1510.0,15.0,1.0,250304.0,130.0,3.0,0.0,0.0,114.0,6820.0,1.0,0.0,0.0,170.0,1258.0,0.0,0.0,6.0,1673.0,1637.0,175.0,0.0,2.0,171.0,325.0,693.0,18.0,4032.0,8.0,69.0,3006.0,110.0,0.0,2690.0,0.0,2129.0,11.0,0.0,6.0,129.0,0.0,783.0,54.0,946.0,97.0,195.0,630.0,106.0,325.0,0.0,13089.0,1633.0,874.0,11.0,219.0,48.0,21.0,399.0,3667.0,0.0,0.0,4685.0,2865.0,25.0,6.0,1172.0,103.0,2097.0,24109.0,39877.0,51.0,5654.0,14558.0,72.0,18.0,0.0,0.0,4351.0,8.0,0.0,0.0,8639.0,11.0,0.0,0.0,6074.0,7836.0,0.0,1.0,1606.0,338.0,9271.0,6.0,77813.0,885.0,12.0,6289.0,151.0,58.0,0.0,0.0,83.0,266.0,0.0,0.0
193387,8.0,205.0,0.0,0.0,2.0,1688.0,74.0,5241.0,851.0,151.0,2.0,0.0,238.0,46663.0,0.0,0.0,92.0,155.0,6.0,521.0,0.0,0.0,9.0,135.0,0.0,39.0,2.0,102.0,127.0,14.0,95.0,5692.0,41.0,42.0,0.0,39.0,64.0,44.0,22.0,3.0,0.0,2.0,2.0,0.0,1.0,0.0,4.0,45.0,5.0,10.0,0.0,128.0,49.0,15.0,0.0,6.0,15.0,6.0,227.0,0.0,335.0,28.0,17.0,123.0,10.0,0.0,56.0,0.0,31.0,0.0,2.0,0.0,41.0,24.0,20.0,3.0,1285.0,0.0,164.0,194.0,23.0,14.0,0.0,5536.0,1080.0,10238.0,28.0,62.0,10.0,100.0,48.0,309.0,0.0,0.0,1230.0,439.0,4.0,0.0,163.0,0.0,414.0,6912.0,5494.0,30.0,3019.0,568.0,13.0,11.0,0.0,0.0,256.0,16.0,0.0,0.0,1942.0,1165.0,4.0,1.0,3106.0,1081.0,0.0,0.0,36.0,110.0,12737.0,0.0,16757.0,10.0,8.0,88.0,93.0,22.0,0.0,0.0,62.0,79.0,0.0,14.0
