"V1","V2"
"1",-118,-291
"2",-232,-235
"3",-126,-292
"4",-231,-233
"5",-257,-260
"6",-259,-261
"7",-265,-269
"8",-29,-34
"9",-60,-72
"10",-107,-111
"11",-264,-268
"12",-12,-14
"13",-215,-254
"14",-238,-241
"15",-94,-175
"16",6,7
"17",-155,-225
"18",-16,-120
"19",-243,-246
"20",-55,-248
"21",-124,-152
"22",-128,-132
"23",-77,-186
"24",-108,-148
"25",-42,-158
"26",-31,-185
"27",-145,-150
"28",-272,-275
"29",-101,-121
"30",-15,-106
"31",-205,-283
"32",-262,-293
"33",-141,-195
"34",-239,14
"35",-95,-250
"36",-277,8
"37",-13,-211
"38",-221,-224
"39",-273,-303
"40",-104,-114
"41",-151,-190
"42",-40,-183
"43",-3,-138
"44",-282,-298
"45",-41,-285
"46",-58,-73
"47",-21,-286
"48",-157,-180
"49",-24,-149
"50",-82,-192
"51",4,17
"52",-7,-93
"53",-174,-247
"54",-197,-263
"55",-33,-51
"56",-84,-156
"57",-25,13
"58",-131,-169
"59",-83,24
"60",-5,-44
"61",-294,32
"62",-109,-113
"63",-130,22
"64",-198,-236
"65",-196,-199
"66",1,29
"67",16,19
"68",-92,-245
"69",31,45
"70",-266,5
"71",-37,-66
"72",-216,-300
"73",-53,-69
"74",-39,-306
"75",-146,-270
"76",-163,-242
"77",-9,-88
"78",-96,-162
"79",-136,-137
"80",-133,-304
"81",35,42
"82",-85,-220
"83",-115,-167
"84",-54,-302
"85",-75,23
"86",-202,-219
"87",-110,46
"88",-1,-35
"89",-253,-255
"90",-125,-188
"91",-123,-295
"92",-57,-288
"93",26,36
"94",-159,-228
"95",-171,-189
"96",-8,-50
"97",-122,-142
"98",-135,-281
"99",-168,-222
"100",-117,-280
"101",-4,-314
"102",-181,-213
"103",-23,-76
"104",-32,-62
"105",-140,-226
"106",53,72
"107",-301,43
"108",28,67
"109",21,38
"110",-26,-229
"111",-154,-256
"112",3,40
"113",-279,-299
"114",-78,-200
"115",-17,83
"116",-296,-308
"117",-11,-18
"118",-214,-234
"119",-19,-80
"120",-240,-307
"121",-70,-274
"122",-173,-178
"123",-191,-217
"124",34,108
"125",18,97
"126",-64,-68
"127",-176,54
"128",-48,-209
"129",-249,-297
"130",-91,-278
"131",-102,-230
"132",-284,68
"133",-184,11
"134",55,59
"135",-59,-165
"136",-87,-312
"137",85,86
"138",63,70
"139",-38,-244
"140",12,20
"141",-63,-271
"142",-81,56
"143",-67,41
"144",-52,113
"145",-206,48
"146",-99,73
"147",-251,-289
"148",-164,37
"149",44,81
"150",30,111
"151",-22,-100
"152",61,98
"153",77,134
"154",-212,117
"155",-49,-309
"156",15,96
"157",-276,71
"158",-56,-144
"159",74,90
"160",-119,-207
"161",-177,64
"162",-61,149
"163",-10,104
"164",-153,106
"165",-127,-179
"166",-36,-287
"167",75,116
"168",-201,139
"169",-210,39
"170",-258,95
"171",33,91
"172",-43,62
"173",-27,101
"174",76,93
"175",103,121
"176",-172,-218
"177",-98,122
"178",-71,88
"179",-204,155
"180",-194,-237
"181",-313,137
"182",-6,-79
"183",2,57
"184",-45,-147
"185",112,138
"186",92,119
"187",114,157
"188",-86,-203
"189",-193,65
"190",51,152
"191",10,66
"192",-187,80
"193",-160,144
"194",-134,174
"195",49,87
"196",-97,172
"197",-65,27
"198",79,107
"199",131,170
"200",100,115
"201",129,163
"202",99,173
"203",-28,-310
"204",123,141
"205",69,175
"206",143,146
"207",-267,151
"208",-103,52
"209",-112,-116
"210",124,183
"211",102,164
"212",94,186
"213",-182,136
"214",-47,132
"215",-20,82
"216",-252,182
"217",9,126
"218",60,84
"219",-89,-311
"220",125,133
"221",-161,161
"222",154,195
"223",-30,-74
"224",-139,159
"225",162,205
"226",-166,47
"227",-46,-143
"228",171,190
"229",-2,110
"230",-208,118
"231",58,147
"232",50,127
"233",-170,105
"234",120,142
"235",109,185
"236",140,189
"237",-129,145
"238",-105,-290
"239",128,202
"240",168,194
"241",196,204
"242",130,207
"243",192,221
"244",135,201
"245",187,209
"246",25,181
"247",-227,217
"248",153,226
"249",165,223
"250",150,214
"251",244,246
"252",203,229
"253",166,212
"254",197,231
"255",-90,238
"256",228,235
"257",216,240
"258",199,222
"259",89,191
"260",-305,206
"261",180,215
"262",-223,167
"263",233,241
"264",78,219
"265",178,208
"266",211,249
"267",148,257
"268",227,232
"269",200,253
"270",236,256
"271",158,218
"272",179,198
"273",169,220
"274",193,225
"275",156,260
"276",243,261
"277",177,237
"278",234,265
"279",213,266
"280",176,247
"281",248,258
"282",188,224
"283",255,264
"284",160,210
"285",230,262
"286",239,276
"287",263,272
"288",251,286
"289",250,267
"290",254,278
"291",242,269
"292",283,291
"293",279,287
"294",245,288
"295",184,275
"296",252,284
"297",259,268
"298",273,289
"299",271,277
"300",270,285
"301",274,294
"302",282,295
"303",290,292
"304",297,298
"305",299,300
"306",280,296
"307",281,303
"308",301,304
"309",305,307
"310",302,309
"311",293,308
"312",310,311
"313",306,312
